/opt/conda/envs/aigc/lib/python3.9/site-packages/torchvision/models/_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
/opt/conda/envs/aigc/lib/python3.9/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=VGG16_Weights.IMAGENET1K_V1`. You can also use `weights=VGG16_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
/opt/conda/envs/aigc/lib/python3.9/site-packages/torch/nn/_reduction.py:42: UserWarning: size_average and reduce args will be deprecated, please use reduction='sum' instead.
  warnings.warn(warning.format(ret))
epoch 0, processed 0 samples, lr 0.0000001000
Epoch: [3][1260/1445]	Time 0.320 (0.321)	Data 0.003 (0.004)	Loss 0.9743 (4.8955)	
Epoch: [3][1290/1445]	Time 0.324 (0.321)	Data 0.003 (0.004)	Loss 15.5455 (4.8759)	
Epoch: [3][1320/1445]	Time 0.323 (0.321)	Data 0.004 (0.004)	Loss 2.1482 (4.8412)	
Epoch: [3][1350/1445]	Time 0.322 (0.321)	Data 0.004 (0.004)	Loss 1.2627 (4.8010)	
Epoch: [3][1380/1445]	Time 0.320 (0.321)	Data 0.004 (0.004)	Loss 1.8367 (4.8310)	
Epoch: [3][1410/1445]	Time 0.323 (0.321)	Data 0.005 (0.004)	Loss 3.5014 (4.8211)	
Epoch: [3][1440/1445]	Time 0.325 (0.321)	Data 0.003 (0.004)	Loss 0.9625 (4.7985)	
begin test
 * MAE 45.163 
 * best MAE 44.304 
epoch 4, processed 5780 samples, lr 0.0000001000
Epoch: [4][0/1445]	Time 0.516 (0.516)	Data 0.384 (0.384)	Loss 1.8282 (1.8282)	
Epoch: [4][30/1445]	Time 0.307 (0.317)	Data 0.003 (0.016)	Loss 5.9156 (5.8301)	
Epoch: [4][60/1445]	Time 0.312 (0.314)	Data 0.003 (0.010)	Loss 14.4385 (5.7510)	
